127.0.0.1 - - [28/Apr/2023:08:55:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Apr/2023:08:55:12 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:08:55:15 +0900] "GET /daehanweb/Images/20201124102548_1544383_710_340.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:08:55:15 +0900] "GET /daehanweb/Images/mbti.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:08:55:15 +0900] "GET /daehanweb/Images/default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:00:58 +0900] "GET /css/example.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:00:58 +0900] "GET /css/images/paris.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:00:58 +0900] "GET /css/images/newyork.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:00:58 +0900] "GET /css/images/sanfran.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:00:58 +0900] "GET /css/css/mystyle2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:00:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:18:00 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:19:20 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4594
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:20:28 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4664
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:20:42 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4649
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:20:51 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4635
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:20:52 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:21:12 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:21:47 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4642
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:22:28 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4649
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:22:40 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:22:54 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4673
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:23:50 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:24:47 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4655
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:25:48 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:26:03 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:31:02 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:25 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:25 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:25 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:25 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:27 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:27 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:27 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:27 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:53 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4942
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:53 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:53 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:34:53 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:20 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:35:21 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 5041
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/images/newyork.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/images/paris.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:36:47 +0900] "GET /daehanweb/images/sanfran.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:48:51 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4836
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:49:06 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4840
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:53:16 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4844
0:0:0:0:0:0:0:1 - - [28/Apr/2023:09:53:50 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 304 -
192.168.20.31 - - [28/Apr/2023:09:57:43 +0900] "GET /daehanweb/daehan.html HTTP/1.1" 200 4844
192.168.20.31 - - [28/Apr/2023:09:57:43 +0900] "GET /daehanweb/Images/20201124102548_1544383_710_340.jpg HTTP/1.1" 200 159867
192.168.20.31 - - [28/Apr/2023:09:57:43 +0900] "GET /daehanweb/Images/mbti.jpg HTTP/1.1" 200 37261
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:04:23 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:06:40 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:09:35 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:09:36 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:09:44 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:09:47 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:46 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:47 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:47 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:47 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:48 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:48 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:48 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:12:48 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:14:03 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:14:08 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:14:09 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:14:09 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:14:12 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:14:29 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:14:53 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:15:35 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:15:39 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:15:40 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:21:09 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:37:10 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:37:34 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:38:32 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:11 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:12 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:20 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:20 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:21 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:30 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:31 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:31 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:31 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:31 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:32 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:54 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:56 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:56 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:56 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:41:56 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:42:16 +0900] "GET /javascript/01_intro.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:42:17 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:43:19 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:11:43:28 +0900] "GET /javascript/01_intro.html HTTP/1.1" 304 -
